orthographic,translation,gloss
noh nih'iikoxookowou'u hoonoo3ei'iikohetii,"And we played  "" breaking away "", and carried each other back and forth across rivers on our backs . [ or carrying mud on foot , floating on back ???]",and PAST.IMPERF-break.away.from.s.o.-1S pack.each.other.back.and.forth.across.streams
He'ih'ini he'ihnokoo3inoo'oono' heeneescoocoboo3i' nuh'uuno nih'eentouhuni3i,"They , and they went completely berserk the way they just shot anyone of those poor people who were there .","NARRPAST-DETACH NARRPAST-going.berserk,.change.from.normal.state-pers.PL what-REDUP-shoot-3PL this PAST-IMPERF-located.at-4PL"
Wonoo3ei'i heicin noh hebeeteinin nohkuuhu','We have many arrows and  [ many ] bows along with them . ',IC.be.many 2S-arrow-12POSS and 2S-bow-12POSS with.comit.-ADV
neixoo beeteen howouunoni,Holy Father have mercy on me .,father! IC.be.holy-2S have.mercy.on-1S.IMPER
Wohei nuhu' cee'eyeiniini nih'oo3ou'u he'ih'iineeneyei3eihei3i',"Well these Ft . Washakie white people began to teach them .[ sic , unless heihii 'soon' ]",okay this agent-DETACH white.person(s) NARRPAST.IMPERF-REDUP-teach-4
he'ih'itesee hiwoxuuhuu,He came upon some elk .,NARRPAST-meet-3S elk
noh'oetee' toonhesitee he'ihnootee,"it was lit up , some fire was burning .","illjminated.by.fire,-0S INDEF-fire NARRPAST-burning.(a.fire)"
Wohei noh neesiiis nee'eeneestootiini',"Well and three days , that's what they did .",okay and three-days these.are.the.things.people.do-0S
koxuunii beh'inoo'oo',The movements were all different  [ each time ].,other-DETACH all-0S
Ne'iini ne'P ne'P ne'P ne'ce'iini no'oehini3{ni},Then his father walked out again .,then then-pause then-pause then-pause then-again come-4S
Nooxeihi' nooxeihi' nih'oo3oucenee nih'oo3ounii'eihii,"Maybe , maybe pheasant , chicken .",maybe maybe white.person-grouse white.person-bird
ne'P ne'cih'ini woowo'wuuhut,Then he moved his camp farther this ways .,then-pause then-to.here-DETACH REDUP-move.camp.farther.along-3.S
noh hiit heetnehP hoh'ei'iseeno','ecAnd here ... we'll take a different route,"and here FUT-from.here-pause take.alt..route,.to.dodge.s.t.-12"
Noh he'ihbeeseenet noh he'ne'ii'inihiit,"and exclaimed with a loud cry ,",and NARRPAST-shout and that's.when-say-3.S
yeah nih'onobee' teecxo',"Yeah , it was happy long ago .",yeah PAST-joyous-0S long.ago
'oh hu'un ceese' hiisoh'o woxonoh'oe ne'nih'iisih'it,"And that other one , his older brother , Bad Boy was his name .[ Bud Harris ]",but that(aforementioned) other his Bad.Boy that-PAST-how.named-3.S
nehe',this,this
Noh neihoowbeet3eiisin,And I don't want to be in jail .,and 1.NEG-want.to-be.in.jail
Hiiwoonhehe' hiiwoonhehe' heetih'ini kookokoh'oeneetowunee,"Today , today let it be that you think about all this .",now now so.that-DETACH REDUP-think.about-2PL
heetniiniiteP niiteheitou'u hiine'etiit bebiisiihi',"[ The spirits ] will help  [ imrpove ] one's life , make it correct .",FUT-IMPERF-help-pause help-3PL life properly-ADV
niiciineni' nihii niiciineni' nihii heesih'iitou'u bee3o'oo',"It's put down on , it's put down on , well , what do you call it , canvas .",IMPERF-put.down-0S well... IMPERF-put.down-0S well... how.X.calls-3PL IC.hard-0S
Nenee3i' nih'iinii3nowoo3i',They were the ones who had it .,IC.it.is-3PL PAST.IMPERF-have.permanently-3PL
One time he'ihcihwonceitee nuhu' (name),"One time , I guess  ( name ) came to visit ,",one time NARRPAST-to.here-ALLAT-visit.people this (name)
